country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Philippines,25,25,25,25,25,25,25,25,25,25,25,39,40,40,40,40,42,44,45,45,45,45,45,44,44,41,40,41,41,38,38,38,38,38,38,42,42,42,44,44,44,45,45,43
Poland,54,54,54,54,54,54,55,58,55,55,55,55,55,55,58,66,66,66,66,67,67,67,67,67,66,66,66,66,66,66,66,66,66,66,66,64,64,64,64,64,70,70,70,65
Portugal,64,66,66,66,66,65,65,65,65,65,65,66,66,67,67,67,67,67,67,67,66,69,69,69,69,69,69,69,69,69,69,68,68,68,68,68,68,70,70,70,74,70,73,70
Qatar,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,45,45,45,44,44,44,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,46,46,46,47,41,41
Romania,23,23,23,23,23,23,23,23,23,24,24,24,24,24,23,32,33,33,33,33,33,32,32,32,32,29,32,32,32,32,32,38,39,39,41,41,41,41,44,46,48,50,43,45
Russia,41,41,41,41,41,41,41,41,41,41,42,42,42,42,42,42,35,25,25,25,25,24,24,24,24,27,28,28,28,28,29,29,29,29,29,29,29,31,30,30,30,28,25,25
Rwanda,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,50,50,50,50,51,49,49,49,49,49,50,59,59,59,59,59,59,61,61,61,57,57,57,67,67,67,67,65,66
Saudi Arabia,37,37,37,37,37,37,37,37,37,38,38,38,38,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,36,36,37,37,37,37
Senegal,47,47,47,47,47,47,46,46,46,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,46,46,46,46,46,46,46,46,46,46,44,61,61,53,53,53,54
Serbia,33,33,33,33,33,33,33,33,33,33,33,33,33,33,29,23,22,22,23,23,23,23,23,22,22,24,37,38,38,39,39,39,39,39,39,39,39,38,40,43,43,42,43,46
